,a,b,jTarget,ox1T5.0,ox2T5.0,oy1T5.0,oy2T5.0,oz1T5.0,oz2T5.0,ox1T10.0,ox2T10.0,oy1T10.0,oy2T10.0,oz1T10.0,oz2T10.0,ox1T15.0,ox2T15.0,oy1T15.0,oy2T15.0,oz1T15.0,oz2T15.0,ox1T20.0,ox2T20.0,oy1T20.0,oy2T20.0,oz1T20.0,oz2T20.0,ox1T25.0,ox2T25.0,oy1T25.0,oy2T25.0,oz1T25.0,oz2T25.0
45,1.0,1.0,4.5,0.3780058,0.3780058,0.20431906,0.20431906,0.062632166,0.062632166,-0.4363598,-0.4363598,-0.3307575,-0.3307575,0.103235826,0.103235826,-0.3169838,-0.3169838,-0.6252173,-0.6252173,-0.005105797,-0.005105797,-0.049459673,-0.049459673,0.07394054,0.07394054,-0.080668144,-0.080668144,-0.38194865,-0.38194865,0.65035266,0.65035266,0.017555509,0.017555509
46,1.0,1.0,4.6,-0.30135587,-0.30135587,-0.103535496,-0.103535496,0.021114988,0.021114988,-0.1810804,-0.1810804,-0.1111168,-0.1111168,-0.10075214,-0.10075214,0.18341774,0.18341774,0.92274183,0.92274183,0.124274164,0.124274164,-0.15284115,-0.15284115,-0.5635267,-0.5635267,0.256898,0.256898,0.12588723,0.12588723,-0.4012305,-0.4012305,-0.07497213,-0.07497213
47,1.0,1.0,4.7,-0.64239055,-0.64239055,-0.25203887,-0.25203887,-0.05208769,-0.05208769,0.5743769,0.5743769,0.7965551,0.7965551,0.044434156,0.044434156,-0.3707992,-0.3707992,-0.73212487,-0.73212487,0.118315816,0.118315816,-0.16511454,-0.16511454,0.81637883,0.81637883,0.04259758,0.04259758,0.28560442,0.28560442,-0.8365385,-0.8365385,0.15374371,0.15374371
48,1.0,1.0,4.8,-0.3668424,-0.3668424,-0.11220205,-0.11220205,-0.09846994,-0.09846994,-0.12783542,-0.12783542,0.029217727,0.029217727,0.17014375,0.17014375,0.15659083,0.15659083,0.80094576,0.80094576,0.00483095,0.00483095,-0.009263014,-0.009263014,-0.88803333,-0.88803333,0.056352865,0.056352865,-0.2891715,-0.2891715,0.21986553,0.21986553,0.1996121,0.1996121
49,1.0,1.0,4.9,0.30498788,0.30498788,0.21269985,0.21269985,-0.08065192,-0.08065192,-0.48147616,-0.48147616,-0.46627837,-0.46627837,-0.041673843,-0.041673843,-0.3027417,-0.3027417,-0.45837724,-0.45837724,0.21851715,0.21851715,-0.2444325,-0.2444325,0.53341687,0.53341687,0.23257084,0.23257084,-0.41606042,-0.41606042,0.5458012,0.5458012,-0.027114585,-0.027114585
50,1.0,1.0,5.0,0.8221166,0.8221166,0.45999232,0.45999232,-0.012109099,-0.012109099,0.40910047,0.40910047,0.6144576,0.6144576,-0.04105434,-0.04105434,0.04096606,0.04096606,0.36489892,0.36489892,-0.06911567,-0.06911567,-0.032944605,-0.032944605,-0.11346171,-0.11346171,-0.07891274,-0.07891274,0.23686616,0.23686616,-0.49050674,-0.49050674,-0.06401844,-0.06401844
51,1.0,1.0,5.1,0.7505993,0.7505993,0.4193879,0.4193879,0.053330336,0.053330336,0.20974566,0.20974566,0.45385566,0.45385566,0.17034332,0.17034332,-0.17488608,-0.17488608,0.041060872,0.041060872,0.25674278,0.25674278,-0.09114051,-0.09114051,-0.50754684,-0.50754684,0.24268912,0.24268912,0.37726268,0.37726268,-0.7690067,-0.7690067,0.13832705,0.13832705
52,1.0,1.0,5.2,0.13708791,0.13708791,0.11263604,0.11263604,0.06447805,0.06447805,-0.56120694,-0.56120694,-0.56726384,-0.56726384,0.04560655,0.04560655,-0.09823715,-0.09823715,-0.18610597,-0.18610597,-0.07534209,-0.07534209,-0.23996153,-0.23996153,0.7733619,0.7733619,0.019367913,0.019367913,-0.3159883,-0.3159883,0.23045501,0.23045501,0.16014701,0.16014701
53,1.0,1.0,5.3,-0.5191791,-0.5191791,-0.21380739,-0.21380739,0.013983292,0.013983292,0.102944516,0.102944516,0.23014317,0.23014317,-0.08553341,-0.08553341,-0.049584843,-0.049584843,0.5487009,0.5487009,0.22765899,0.22765899,0.09213358,0.09213358,-0.9170973,-0.9170973,0.05265108,0.05265108,-0.47455752,-0.47455752,0.51122534,0.51122534,-0.034966193,-0.034966193
54,1.0,1.0,5.4,-0.6746488,-0.6746488,-0.28731436,-0.28731436,-0.055747144,-0.055747144,0.43930602,0.43930602,0.75976044,0.75976044,0.11946436,0.11946436,-0.20903422,-0.20903422,-0.6413461,-0.6413461,-0.02253424,-0.02253424,-0.28067645,-0.28067645,0.49924353,0.49924353,0.20730032,0.20730032,0.2653239,0.2653239,-0.43773633,-0.43773633,-0.0667907,-0.0667907
